,,,,,,,
,,C1,0,36,882,f
,,C2,0,588,770,f
,,C3,1,17,733,f
,,C4,1,191,28,f
,,C5,1,425,705,f
,,C6,2,315,31,f
,,C7,3,660,188,f
,,C8,3,789,927,f
,,C9,3,767,719,f
,,C10,3,503,172,f
,,C11,3,668,973,f
,,C12,3,76,859,f
,,C13,4,210,927,f
,,C14,4,364,863,f
,,C15,4,558,116,f
,,C16,5,449,329,f
,,C17,6,162,893,f
,,C18,6,372,965,f
,,C19,7,650,157,f
,,C20,7,103,118,f
,,C21,8,22,323,f
,,C22,10,475,316,f
,,C23,10,359,887,f
,,C24,10,138,645,f
,,C25,10,749,697,f
,,C26,11,740,726,f
,,C27,12,127,856,f
,,C28,12,226,60,f
,,C29,12,385,659,f
,,C30,13,187,477,f
,,C31,14,249,916,f
,,C32,15,623,727,f
,,C33,15,268,913,f
,,C34,16,56,407,f
,,C35,16,560,936,f
,,C36,16,312,7,f
,,C37,16,507,821,f
,,C38,16,690,955,f
,,C39,17,273,543,f
,,C40,17,573,909,f
,,C41,18,45,875,f
,,C42,21,813,184,f
,,C43,21,510,76,f
,,C44,21,205,469,f
,,C45,21,355,984,f
,,C46,22,495,367,f
,,C47,23,410,349,f
,,C48,23,120,953,f
,,C49,24,143,641,f
,,C50,24,460,571,f
,,C51,25,802,505,f
,,C52,25,818,152,f
,,C53,25,636,659,f
,,C54,26,322,925,f
,,C55,26,346,311,f
,,C56,27,504,88,f
,,C57,27,515,926,f
,,C58,28,98,440,f
,,C59,29,681,979,f
,,C60,30,741,534,f
,,C61,30,565,624,f
,,C62,30,61,775,f
,,C63,31,566,874,f
,,C64,32,789,274,f
,,C65,32,199,632,f
,,C66,33,223,138,f
,,C67,33,352,218,f
,,C68,34,629,82,f
,,C69,35,529,279,f
,,C70,35,701,952,f
,,C71,35,560,174,f
,,C72,35,407,387,f
,,C73,36,648,761,f
,,C74,36,775,855,f
,,C75,36,750,881,f
,,C76,37,793,995,f
,,C77,38,542,903,f
,,C78,38,128,406,f
,,C79,39,294,828,f
,,C80,40,147,668,f
,,C81,40,763,294,f
,,C82,40,137,784,f
,,C83,41,474,79,f
,,C84,41,375,858,f
,,C85,42,631,317,f
,,C86,42,794,417,f
,,C87,43,627,202,f
,,C88,43,523,136,f
,,C89,44,213,14,f
,,C90,44,625,842,f
,,C91,45,721,396,f
,,C92,45,726,62,f
,,C93,46,590,576,f
,,C94,46,651,884,f
,,C95,46,816,617,f
,,C96,47,171,535,f
,,C97,48,245,171,f
,,C98,48,533,605,f
,,C99,48,777,244,f
,,C100,48,636,611,f
,,C101,49,350,139,f
,,C102,49,481,711,f
,,C103,49,400,409,f
,,C104,49,197,107,f
,,C105,50,125,896,f
,,C106,50,448,238,f
,,C107,50,414,671,f
,,C108,51,612,63,f
,,C109,51,740,940,f
,,C110,52,109,290,f
,,C111,52,274,706,f
,,C112,53,513,293,f
,,C113,53,769,76,f
,,C114,53,596,200,f
,,C115,54,574,507,f
,,C116,54,627,748,f
,,C117,54,293,767,f
,,C118,55,762,339,f
,,C119,55,376,280,f
,,C120,55,786,541,f
,,C121,56,163,963,f
,,C122,56,708,552,f
,,C123,56,752,877,f
,,C124,57,588,329,f
,,C125,58,67,323,f
,,C126,58,141,588,f
,,C127,60,364,912,f
,,C128,62,169,991,f
,,C129,63,652,273,f
,,C130,63,581,274,f
,,C131,64,292,520,f
,,C132,64,82,386,f
,,C133,65,520,767,f
,,C134,66,519,946,f
,,C135,67,251,237,f
,,C136,67,639,803,f
,,C137,67,589,669,f
,,C138,68,501,25,f
,,C139,68,510,805,f
,,C140,69,457,751,f
,,C141,70,395,639,f
,,C142,70,581,441,f
,,C143,71,288,783,f
,,C144,71,519,634,f
,,C145,72,778,278,f
,,C146,72,532,333,f
,,C147,72,520,893,f
,,C148,73,433,245,f
,,C149,73,215,645,f
,,C150,73,547,137,f
,,C151,73,500,394,f
,,C152,73,273,368,f
,,C153,74,633,521,f
,,C154,75,207,857,f
,,C155,75,392,343,f
,,C156,76,794,971,f
,,C157,78,361,282,f
,,C158,79,694,667,f
