,,,,,,,
,,C1,0,15,37,f
,,C2,0,32,384,f
,,C3,1,44,789,f
,,C4,1,64,295,f
,,C5,2,54,411,f
,,C6,3,40,654,f
,,C7,3,75,296,f
,,C8,3,24,46,f
,,C9,3,27,984,f
,,C10,4,68,987,f
,,C11,4,56,953,f
,,C12,4,78,168,f
,,C13,5,52,60,f
,,C14,5,26,207,f
,,C15,5,67,737,f
,,C16,5,24,993,f
,,C17,6,68,451,f
,,C18,7,39,203,f
,,C19,7,11,192,f
,,C20,7,32,536,f
,,C21,8,72,851,f
,,C22,8,50,863,f
,,C23,8,23,122,f
,,C24,8,35,655,f
,,C25,8,29,380,f
,,C26,8,20,240,f
,,C27,8,32,510,f
,,C28,9,33,284,f
,,C29,9,26,689,f
,,C30,9,27,888,f
,,C31,10,57,98,f
,,C32,10,33,290,f
,,C33,11,49,469,f
,,C34,11,31,285,f
,,C35,12,68,738,f
,,C36,13,48,723,f
,,C37,13,79,613,f
,,C38,13,41,81,f
,,C39,14,78,888,f
,,C40,15,82,843,f
,,C41,15,22,193,f
,,C42,16,60,555,f
,,C43,16,20,735,f
,,C44,16,27,198,f
,,C45,17,38,530,f
,,C46,17,35,390,f
,,C47,18,52,565,f
,,C48,19,20,899,f
,,C49,19,64,676,f
,,C50,19,35,989,f
,,C51,20,52,394,f
,,C52,20,81,995,f
,,C53,21,74,792,f
,,C54,22,67,251,f
,,C55,22,43,837,f
,,C56,22,70,675,f
,,C57,23,66,253,f
,,C58,23,64,577,f
,,C59,24,25,846,f
,,C60,24,70,89,f
,,C61,24,36,958,f
,,C62,25,27,720,f
,,C63,25,77,568,f
,,C64,25,49,501,f
,,C65,26,69,316,f
,,C66,26,78,412,f
,,C67,26,27,525,f
,,C68,27,75,30,f
,,C69,29,64,631,f
,,C70,29,37,789,f
,,C71,29,71,219,f
,,C72,29,57,618,f
,,C73,30,58,882,f
,,C74,31,75,111,f
,,C75,31,53,943,f
,,C76,32,36,385,f
,,C77,33,60,849,f
,,C78,35,72,774,f
,,C79,38,65,117,f
,,C80,38,74,335,f
,,C81,39,80,952,f
,,C82,40,56,778,f
,,C83,42,69,401,f
,,C84,43,72,333,f
,,C85,44,50,899,f
,,C86,47,63,115,f
,,C87,49,64,767,f
,,C88,50,60,31,f
,,C89,51,58,288,f
,,C90,52,71,641,f
,,C91,53,66,117,f
,,C92,54,58,491,f
,,C93,55,65,889,f
,,C94,57,70,458,f
,,C95,57,65,510,f
,,C96,61,68,59,f
,,C97,62,63,378,f
,,C98,69,74,996,f
,,C99,70,73,179,f
,,C100,71,77,404,f
